Registration Number,Association Name,State,Cancellation Type,Cancellation Year
146980109,Apostolic Convent Fellowship Welfare Socity,West Bengal,On Violation,2019
147110381,Antyadaya Surja Sangha,West Bengal,On Violation,2019
147000005,Ananda Niketan,West Bengal,On Violation,2019
147000239,AMORAGORI VIVEKANANDA SAMAJ KALYAN SAMITY,West Bengal,On Violation,2019
147000093,Ambagan Karmi Sangha,West Bengal,On Violation,2019
147110520,Amar Club,West Bengal,On Violation,2019
147120916,ALL CHILDREN TOGETHER TRUST,West Bengal,On Violation,2019
147120210,All Bengal Womens Union Primary School,West Bengal,On Violation,2019
147120129,All Bengal Women's Union Home,West Bengal,On Violation,2019
147120003,All Bengal Women's Union Child.wel.home,West Bengal,On Violation,2019
147111012,AlAmeen Memorial Society For Education and Health Program,West Bengal,On Violation,2019
146920056,AKASH GRAM UNNAYAN SAMITY,West Bengal,On Violation,2019
147110251,Action Of Promoters For Dev.& Liberation,West Bengal,On Violation,2019
347870008,uttaranchal gramin vikas samiti bankhola bageshwar,Uttarakhand,On Violation,2019
347900206,Uttar Pradesh Gramodyog Samiti,Uttarakhand,On Violation,2019
347860020,Upasana Kalyan Samiti,Uttarakhand,On Violation,2019
347900055,Tushar Community Health Education And Development Society,Uttarakhand,On Violation,2019
347950007,SOCIETY FOR HOLY HIMALAYA,Uttarakhand,On Violation,2019
347920002,Sanion Ka Sangthan,Uttarakhand,On Violation,2019
347880003,Samagra Grameen Vikas Samiti,Uttarakhand,On Violation,2019
347900205,RED FORT INTERNATIONAL SCHOOL SOCIETY,Uttarakhand,On Violation,2019
347910018,rajat shahri evam gramothan sansthan,Uttarakhand,On Violation,2019
347940023,RAATH SHIKSHA VIKAS SAMITI,Uttarakhand,On Violation,2019
347900197,PDFA Uttarakhand,Uttarakhand,On Violation,2019
347950011,Parwatiya Niyojan Evam Vikas Sansthan,Uttarakhand,On Violation,2019
347960057,OM UJWAL SANSTHAN,Uttarakhand,On Violation,2019
347940027,NAV PRABHAT PUBLIC SCHOOL SAMITI,Uttarakhand,On Violation,2019
347960058,NAV JYOTI JAN KALYAN SAMITI,Uttarakhand,On Violation,2019
347900131,NATIONAL EDUCATION DEVELOPMENT CENTRE,Uttarakhand,On Violation,2019
347860025,Lok Sandarbh Adhyayan Samiti,Uttarakhand,On Violation,2019
347940026,Khushboo Sikshan Samiti,Uttarakhand,On Violation,2019
347900209,Kalap Trust,Uttarakhand,On Violation,2019
347940011,Kailashanand Mission Trust,Uttarakhand,On Violation,2019
347880013,Jan Kalyan Samiti,Uttarakhand,On Violation,2019
347920045,JAGRATI MAHILA EVAM BAL VIKAS SAMITI,Uttarakhand,On Violation,2019
347950002,Garhwal Welfare Samiti,Uttarakhand,On Violation,2019
347910016,Future Vision(India),Uttarakhand,On Violation,2019
347900010,Experiments In Rural Advancement,Uttarakhand,On Violation,2019
347920006,Dwarhat Gram Swaraj ya Mandal,Uttarakhand,On Violation,2019
347900175,DEVBHOOMI MARTIAL ARTS WELFARE SOCIETY,Uttarakhand,On Violation,2019
347880007,Dasholi Gram Swarajya Mandal,Uttarakhand,On Violation,2019
347970016,BHOR SANSTHA,Uttarakhand,On Violation,2019
347970004,Arpit Sewa Sansthan,Uttarakhand,On Violation,2019
347940028,Aakriti Seva Samiti,Uttarakhand,On Violation,2019
136590047,Zenial urban and Rural development Society,Uttar Pradesh,On Violation,2019
136550349,Vishwa Manav Kalyan Sansthan,Uttar Pradesh,On Violation,2019
136690021,Village Development Youth Club,Uttar Pradesh,On Violation,2019
136510036,VIDYODAY SEVA SAMITI,Uttar Pradesh,On Violation,2019
136330017,Vedamau Vedic Vidyapeeth,Uttar Pradesh,On Violation,2019
136280032,Utthan Sansthan,Uttar Pradesh,On Violation,2019
136810006,Uday Bhavan Society,Uttar Pradesh,On Violation,2019
136230149,Triveni Agrotech and Vikas Sansthan,Uttar Pradesh,On Violation,2019
